,user,enrolled,predicted_results
0,49321,0,0
1,260324,0,0
2,279577,0,1
3,20758,1,1
4,76492,1,0
5,32728,0,0
6,239012,0,0
7,218344,1,1
8,66162,0,0
9,286539,1,0
10,136429,0,0
11,40885,0,1
12,95346,1,0
13,214299,1,1
14,369646,1,1
15,247226,0,0
16,273319,1,1
17,334017,0,1
18,61566,1,1
19,154095,0,0
20,197697,0,0
21,178977,1,1
22,33450,0,1
23,346903,0,0
24,325269,1,1
25,130214,1,0
26,108598,0,0
27,306464,0,1
28,249042,1,1
29,43524,0,0
30,367627,0,1
31,255654,0,1
32,141364,0,0
33,191040,0,0
34,146325,1,1
35,149477,1,0
36,170241,0,0
37,277403,0,0
38,243695,0,0
39,289885,1,1
40,340564,1,1
41,241413,0,0
42,372310,1,1
43,250612,0,0
44,10458,1,1
45,73128,0,1
46,326694,0,0
47,159793,1,1
48,361622,1,1
49,209020,1,1
50,17110,1,0
51,362689,0,0
52,175931,1,1
53,276348,0,0
54,16826,0,0
55,217692,0,0
56,165407,1,1
57,218306,1,1
58,300691,0,0
59,43382,0,0
60,105161,1,1
61,232226,0,0
62,275816,0,0
63,130222,1,1
64,296306,0,1
65,121085,0,0
66,359397,1,1
67,201737,1,1
68,151561,0,0
69,41480,0,1
70,368411,0,1
71,342055,0,0
72,246897,1,1
73,315367,0,0
74,273085,0,0
75,165150,0,0
76,368947,1,1
77,287712,1,1
78,362476,1,1
79,85040,1,1
80,343469,0,0
81,208300,0,0
82,359199,0,0
83,154708,0,0
84,136717,0,0
85,284952,1,1
86,194254,1,1
87,86436,0,0
88,125190,0,0
89,46547,1,0
90,141876,0,1
91,268523,1,1
92,777,1,1
93,611,1,1
94,58072,0,1
95,158717,0,0
96,174622,1,0
97,258273,1,1
98,269415,0,0
99,272216,0,0
100,372970,0,1
101,88667,0,0
102,240089,1,1
103,315017,0,0
104,315992,0,1
105,289464,0,0
106,176837,0,0
107,25956,1,1
108,29952,0,0
109,58506,0,0
110,77234,1,1
111,80022,0,0
112,46865,0,0
113,36923,1,1
114,10560,1,1
115,68979,1,1
116,179558,1,1
117,344960,0,1
118,67878,1,1
119,373508,0,0
120,294061,0,0
121,227533,0,0
122,274307,1,0
123,336048,0,0
124,273293,1,1
125,82090,0,0
126,344036,0,1
127,172759,0,0
128,363912,0,0
129,150923,0,0
130,240766,1,0
131,210883,1,1
132,73223,1,0
133,242709,1,1
134,86766,0,0
135,196020,0,1
136,110362,0,0
137,133772,0,1
138,228474,0,0
139,68595,0,1
140,176651,1,0
141,242868,0,0
142,222753,1,1
143,89913,0,0
144,214841,0,0
145,81486,1,1
146,226829,1,1
147,170225,0,0
148,121464,0,0
149,350038,1,1
150,215299,0,0
151,149578,1,0
152,142203,0,0
153,47537,0,0
154,145386,1,1
155,346123,0,0
156,192209,0,0
157,217236,0,0
158,137109,1,1
159,191261,1,1
160,26496,1,1
161,81567,1,1
162,152936,1,1
163,320962,0,0
164,152519,1,1
165,328387,0,0
166,53056,1,1
167,190034,1,1
168,331477,1,1
169,172087,0,0
170,212433,1,1
171,18033,0,0
172,341134,1,1
173,90775,0,0
174,180699,1,1
175,81272,0,0
176,97449,1,1
177,26222,0,1
178,325016,0,0
179,344701,0,0
180,15823,0,1
181,193086,0,0
182,10483,0,0
183,108138,0,0
184,311561,0,0
185,241888,0,0
186,152833,1,1
187,253748,0,1
188,308025,1,1
189,274304,1,1
190,184114,1,1
191,282819,0,0
192,233316,0,0
193,36569,0,0
194,145697,0,0
195,285855,0,1
196,283460,0,0
197,212945,0,0
198,113036,0,1
199,22437,0,1
200,106653,0,1
201,219401,0,1
202,358831,0,0
203,243260,1,1
204,5981,0,0
205,108313,0,0
206,341423,0,0
207,30872,0,0
208,44227,1,1
209,23803,0,0
210,207461,0,1
211,12514,1,0
212,207206,0,0
213,195947,0,0
214,256544,0,1
215,155381,0,0
216,197046,1,1
217,324522,0,0
218,40591,1,1
219,124674,1,0
220,271575,1,0
221,207779,0,1
222,137495,1,0
223,114885,1,1
224,340045,0,0
225,119499,0,0
226,149526,0,0
227,76959,1,0
228,300635,1,1
229,286918,0,1
230,306710,1,1
231,28258,1,0
232,355426,1,1
233,145134,0,0
234,238073,1,1
235,152992,1,1
236,145393,1,0
237,288267,1,0
238,157275,0,0
239,163805,0,0
240,206217,0,0
241,246959,1,1
242,82627,0,0
243,83352,0,0
244,291627,0,0
245,319135,0,0
246,358052,1,1
247,215251,1,1
248,98434,0,0
249,152109,1,1
250,217417,0,0
251,46205,0,0
252,115292,1,1
253,297413,0,0
254,364035,1,1
255,140324,1,1
256,262567,1,1
257,351177,0,1
258,347766,0,0
259,25586,1,1
260,364228,0,0
261,279692,1,1
262,229159,1,1
263,194940,1,1
264,213312,0,1
265,3749,1,0
266,128979,0,1
267,274796,1,0
268,162093,1,1
269,57027,1,1
270,22411,0,1
271,346722,1,1
272,200354,1,1
273,201812,0,0
274,18830,0,0
275,269752,1,0
276,274227,0,0
277,363606,0,0
278,334622,1,1
279,285422,0,0
280,134072,0,0
281,160590,0,1
282,81819,0,0
283,158726,0,1
284,226660,1,0
285,148124,0,1
286,21659,1,1
287,142664,0,0
288,277237,1,1
289,158802,0,0
290,41754,0,0
291,88182,1,1
292,222877,1,1
293,218279,0,0
294,93866,0,0
295,852,1,1
296,187766,0,0
297,159286,1,1
298,38108,1,1
299,109604,1,1
300,10953,1,0
301,313346,1,0
302,286087,0,0
303,172923,1,1
304,229576,1,1
305,46034,1,1
306,12764,0,0
307,235673,0,1
308,362709,1,1
309,128440,1,0
310,51103,0,0
311,69980,1,0
312,32175,0,0
313,160783,0,1
314,320295,0,0
315,152250,0,0
316,152231,0,1
317,162647,0,1
318,301242,1,0
319,205118,0,0
320,174375,0,0
321,20547,1,1
322,81449,1,1
323,368405,0,0
324,57104,1,1
325,128271,0,0
326,42535,1,1
327,171184,0,0
328,267974,1,1
329,304041,0,0
330,274067,1,1
331,167410,0,0
332,291584,1,1
333,237227,0,0
334,80043,0,0
335,219750,1,0
336,182636,1,1
337,118642,1,1
338,39016,0,1
339,27155,0,0
340,67380,0,0
341,318409,0,0
342,47682,1,1
343,246002,0,0
344,242589,1,1
