,user,enrolled,predicted_results
0,282372,1,1
1,355818,1,0
2,338666,1,1
3,269942,1,1
4,18305,0,0
5,181631,0,0
6,99580,0,1
7,214036,0,0
8,136307,0,0
9,126790,1,1
10,89024,1,1
11,370121,0,1
12,346141,1,1
13,208270,0,1
14,326559,0,0
15,178528,1,1
16,147309,1,1
17,344787,0,0
18,56016,0,0
19,232394,1,0
20,147723,1,1
21,148613,1,1
22,359087,0,1
23,168485,1,1
24,243971,0,0
25,29402,1,1
26,208403,0,0
27,102985,1,1
28,354095,0,0
29,309610,1,1
30,338615,0,0
31,103166,0,1
32,60299,1,1
33,359297,0,1
34,40817,0,0
35,181963,1,1
36,299520,1,0
37,91682,0,0
38,293891,1,0
39,118467,1,1
40,246662,1,0
41,349176,1,1
42,338719,0,0
43,62035,1,1
44,166993,0,0
45,86498,0,0
46,163015,1,1
47,56302,1,0
48,81598,0,0
49,350304,0,0
50,190962,0,1
51,122086,0,0
52,1642,0,0
53,252675,1,1
54,39002,1,1
55,193418,1,1
56,136296,0,0
57,168367,1,1
58,87227,1,0
59,292301,1,1
60,165639,0,1
61,84645,1,1
62,96520,1,1
63,325075,1,1
64,294004,1,1
65,30872,0,0
66,356972,1,1
67,292696,0,0
68,343465,1,1
69,257156,0,1
70,87977,0,0
71,209202,0,0
72,325435,1,1
73,126770,1,1
74,23115,0,0
75,274742,0,0
76,202215,1,1
77,220003,1,1
78,50053,0,1
79,74986,0,1
80,14945,0,0
81,350604,1,1
82,36644,1,1
83,350746,0,0
84,114873,0,0
85,177158,1,1
86,205923,0,0
87,270454,0,1
88,195837,1,1
89,368382,1,0
90,148999,1,1
91,292225,1,1
92,255387,1,1
93,311950,1,1
94,228120,1,1
95,151631,1,1
96,57581,1,1
97,17999,1,1
98,209316,0,0
99,213875,0,1
100,279892,0,0
101,90779,1,1
102,197401,1,1
103,70630,1,1
104,41165,1,1
105,343443,0,0
106,16496,1,1
107,303793,0,0
108,299227,1,1
109,118468,0,0
110,68002,0,1
111,268626,1,1
112,156007,0,0
113,91998,0,1
114,116245,1,0
115,327490,1,1
116,257839,0,0
117,273594,1,1
118,161763,1,1
119,84423,1,0
120,99656,1,1
121,185944,1,1
122,288385,0,0
123,76085,0,0
124,40836,0,0
125,362998,0,0
126,364845,1,1
127,193724,0,0
128,290965,0,0
129,115929,1,1
130,260817,0,1
131,33674,1,0
132,223822,1,0
133,309402,0,1
134,52567,1,0
135,165939,0,0
136,212566,0,0
137,359451,1,1
138,18733,1,1
139,148825,1,1
140,218715,1,1
141,283791,0,1
142,316613,1,0
143,12009,1,1
144,268489,1,1
145,238873,1,1
146,267207,1,0
147,14741,1,0
148,85339,0,0
149,223465,0,1
150,309612,1,0
151,259674,0,0
152,84040,1,1
153,14111,0,0
154,160574,1,0
155,300440,0,0
156,366514,0,0
157,46711,1,1
158,269328,0,0
159,72310,0,1
160,350173,1,1
161,139123,1,1
