,entry_id,e_signed,predicted_results
0,6495937.0,0,0
1,2299475.0,1,1
2,4822403.0,0,0
3,7060498.0,1,1
4,2699789.0,0,0
5,4311351.0,1,1
6,3054334.0,0,0
7,5634938.0,1,1
8,7573188.0,1,0
9,7047275.0,1,0
10,6612010.0,1,1
11,7617208.0,1,1
12,7604504.0,1,0
13,7945852.0,1,0
14,3327080.0,0,0
15,3383119.0,0,0
16,6234126.0,0,0
17,6093659.0,0,1
18,3232076.0,0,0
19,6061458.0,1,1
20,9835665.0,0,1
21,2548242.0,0,0
22,5255804.0,0,1
23,6144551.0,1,1
24,1566038.0,1,1
25,7243487.0,1,1
26,7570629.0,0,1
27,2477388.0,1,0
28,8647139.0,0,0
29,4527917.0,1,0
30,9367088.0,1,0
31,9406399.0,1,1
32,9283293.0,0,1
33,2966552.0,0,0
34,5683458.0,1,1
35,8131694.0,1,1
36,1774647.0,0,0
37,8256117.0,0,1
38,9523242.0,1,1
39,1322198.0,0,0
40,9376015.0,0,0
41,6324098.0,1,0
42,3582093.0,0,1
43,1146420.0,1,1
44,4944310.0,0,0
45,3159692.0,1,1
46,3871675.0,0,0
47,1118433.0,1,0
48,4451117.0,0,0
49,9172427.0,0,0
50,4215129.0,1,0
51,5967055.0,0,0
52,3675587.0,1,0
53,8023382.0,0,1
54,1389313.0,1,0
55,2689034.0,1,1
56,6023755.0,1,1
57,5066903.0,0,0
58,9348662.0,1,0
59,6059651.0,1,1
60,7440704.0,1,1
61,9547970.0,1,1
62,6333397.0,0,0
63,2953172.0,0,0
64,2711141.0,0,1
65,8545119.0,1,0
66,1191815.0,1,0
67,7170825.0,0,0
68,2666178.0,0,1
69,3345415.0,0,0
70,7660629.0,1,0
71,3193068.0,1,1
72,8178073.0,0,0
73,9942207.0,1,1
74,3777405.0,1,1
75,1170537.0,1,0
76,2825822.0,0,1
77,2813072.0,0,1
78,2420177.0,1,1
79,8324854.0,1,1
80,1473950.0,1,0
81,3877558.0,1,1
82,8623983.0,0,0
83,2799023.0,0,0
84,8441823.0,0,0
85,6428052.0,0,0
86,9319325.0,1,1
87,3219956.0,1,1
88,9837553.0,1,1
89,6884521.0,0,0
90,6726508.0,0,0
91,4785491.0,1,0
92,1834025.0,1,1
93,8591502.0,1,0
94,6863103.0,1,0
95,3414297.0,0,1
96,7002790.0,0,1
97,7568381.0,1,1
98,4693597.0,0,0
99,8854164.0,1,1
100,2742460.0,1,1
101,1225954.0,0,0
102,6434113.0,1,0
103,2599493.0,0,1
104,6889460.0,1,1
105,1114070.0,0,0
106,5315737.0,1,1
107,5140623.0,1,0
108,8295524.0,0,1
109,4731924.0,1,1
110,7613690.0,0,1
111,7198255.0,1,0
112,6866453.0,0,1
113,2890270.0,0,0
114,7483636.0,1,1
115,9545483.0,1,0
116,5458247.0,1,1
117,3045732.0,0,0
118,5112372.0,1,1
119,6002567.0,1,1
120,1505124.0,0,0
121,9057665.0,1,1
122,3866685.0,1,1
123,5969377.0,1,0
124,3836366.0,1,0
125,7903783.0,1,1
126,1111600.0,1,1
127,1342800.0,0,0
128,8915972.0,0,1
129,5289627.0,1,1
130,8523609.0,0,0
131,1423581.0,1,0
132,4614659.0,1,0
133,3189985.0,0,1
134,7110785.0,1,1
135,8695758.0,1,0
136,9193048.0,1,1
137,7972282.0,0,0
138,3838707.0,1,1
139,3046368.0,1,1
140,4077828.0,1,0
141,7011304.0,1,1
142,1587912.0,1,1
143,5791625.0,0,0
144,8248706.0,0,0
145,3496700.0,1,1
146,9071787.0,0,1
147,7302208.0,0,1
148,4473622.0,1,0
149,4733042.0,0,0
150,4357627.0,0,0
151,2357970.0,1,1
152,6577095.0,1,1
153,7444955.0,1,1
154,4571915.0,1,1
155,1625621.0,0,0
156,2829324.0,0,0
157,4785204.0,1,1
158,1808576.0,0,0
159,7739788.0,1,0
160,4861926.0,0,0
161,7333734.0,1,1
162,7172541.0,1,1
163,8287991.0,0,1
164,2461825.0,1,1
165,4365612.0,0,0
166,2458523.0,1,0
167,2171173.0,0,1
168,6097129.0,0,0
169,4311902.0,0,1
170,6711553.0,1,1
171,2678590.0,0,0
172,5319354.0,1,1
173,1829648.0,0,1
174,2253141.0,1,1
175,5462238.0,0,0
176,6989346.0,1,1
177,4504714.0,0,0
178,8627017.0,0,1
179,8224481.0,1,0
180,7021115.0,1,1
181,3894668.0,1,0
182,3499861.0,1,1
183,6206830.0,1,1
184,9323397.0,1,0
185,6021284.0,1,1
186,3966721.0,1,1
187,8890830.0,0,0
188,3750385.0,1,0
189,5858970.0,0,0
190,5108693.0,0,0
191,4535141.0,1,0
192,5948469.0,0,1
193,3477985.0,0,0
194,3290066.0,1,0
195,3294928.0,0,1
196,6796489.0,0,1
197,8962905.0,0,0
198,1480226.0,1,0
199,2955140.0,0,1
200,4209463.0,0,0
201,3659756.0,1,1
202,7409992.0,0,1
203,7640514.0,1,1
204,5733957.0,1,1
205,7994550.0,0,1
206,1512353.0,1,0
207,9476632.0,1,0
208,3094474.0,1,0
209,8695396.0,1,0
210,4925109.0,0,1
211,2971478.0,1,0
212,4342792.0,0,1
213,5735722.0,0,1
214,2965573.0,0,1
215,9846699.0,0,0
216,7723740.0,0,0
217,4930799.0,1,0
218,5231903.0,0,0
219,2266114.0,0,1
220,4642246.0,1,1
