,entry_id
2,1186371
4,5368897
9,4770211
13,1376227
16,4980185
17,4884553
18,3388420
21,8198916
22,8854043
23,5470044
25,3824729
27,1177667
28,9181610
30,9406713
31,7732884
35,2992318
40,9409574
42,2831871
44,7541389
47,8821828
50,2758083
53,6739041
54,9339634
55,1610309
56,6428253
57,7247587
59,5103841
62,4102493
63,4314416
64,9797113
66,7286256
67,2527687
70,3841076
71,1814638
73,5827054
75,8632173
76,2960158
78,6111308
79,8264781
81,3871675
82,9635703
83,1677591
93,7703140
96,9400345
97,8252225
98,2340536
101,8161361
106,9042833
107,9928846
108,9285818
110,4955387
111,7130926
112,8670062
114,2552737
118,4934986
121,3356338
122,5459055
127,6716320
131,8336536
133,4442953
134,4496088
138,4667758
141,6283805
142,2192862
147,3452730
148,4730104
151,4535011
152,9552647
157,2102716
158,7864482
162,3851764
163,2683051
165,9913898
170,9666721
172,1128481
176,1735426
179,8209595
184,5987358
187,2823802
191,3290066
193,9701581
196,2447038
200,1823994
201,7750185
204,5032836
205,9782127
207,8441211
208,6184187
210,7438064
212,2198264
214,3990544
215,6600739
217,5974592
219,6046435
221,9427230
222,3355092
223,5837110
224,5530290
232,9407398
233,3379357
238,8924965
240,4982590
241,2494920
242,4598011
246,2250675
248,2028383
251,8946659
252,5461425
253,9419768
256,9987805
257,8279179
264,3985988
266,6329486
267,6134063
269,4413412
270,8984776
273,1555530
274,4752872
275,4494439
276,3971890
278,1454313
279,9065463
280,2270563
281,2290536
287,3971033
289,2430226
293,7413319
295,4930048
298,7985882
301,8937979
302,4917538
308,5540733
309,8854965
313,1374785
315,3925519
316,7460729
317,4071662
318,9675416
319,9520708
321,4090479
322,7462635
326,7263460
330,1837649
332,4201670
334,6331630
335,9893003
336,7157504
339,2711645
341,1660947
346,6900081
350,6884342
352,1780855
355,4599943
357,1593195
359,1666826
360,9209967
361,9945473
362,7664820
364,8601043
365,3403384
369,3866430
372,1765539
373,3583271
374,8248243
375,9892595
377,2795392
382,6890441
385,5533234
392,1943001
397,2207875
398,4342848
399,6284462
400,8270887
401,7262790
403,1149971
404,2516039
405,9523629
409,1829815
411,9892792
412,8425912
413,8123205
416,5426854
423,4273472
424,4741611
427,6716829
429,9512492
430,2290780
435,2392905
438,2379635
440,2952681
443,8586262
446,7518636
450,4338361
451,1415839
453,5625273
454,8032478
455,3625257
458,2347351
464,2509137
468,2123018
469,2397971
474,7844145
475,5908626
479,9276506
480,1899370
482,5163290
483,9970471
485,5796603
488,6876545
492,3401795
495,3910244
496,2509245
497,9259633
499,6902090
502,1189535
505,3696086
507,3766265
511,7999356
516,8449687
517,2690451
520,2952689
521,4248044
522,2265879
523,2932491
524,1626878
525,8896461
529,9947260
530,4825846
532,8337500
534,6835607
536,4498138
538,9796523
545,6751732
546,6221113
550,5863200
552,9499640
554,3983870
556,4975501
557,3189428
560,9173627
562,1466028
563,8523390
564,4622285
567,2236307
571,4537796
572,7676957
573,9014546
576,8012658
578,2966552
579,4858045
582,9340804
587,4564003
588,3500032
590,5445085
592,6933813
595,6549007
599,6145941
601,7345191
603,3436257
605,9084853
606,1378203
608,8893457
610,2119455
614,6987811
615,4447865
616,3408825
617,8379742
619,2426679
623,4309474
624,1795078
626,2969611
631,1453044
637,4996028
640,5413098
641,6977461
644,7367181
645,4263267
646,8759118
648,5954765
652,9467154
654,5840619
655,8071065
656,7850970
659,4175447
661,6107358
662,9537829
664,2432897
666,8223769
669,1421645
670,1240717
674,1210898
677,4252067
678,3232076
688,5025825
690,3541218
696,5818577
699,3062558
702,3456612
708,1730670
709,7634652
710,3297041
712,6629334
713,5710161
715,4562767
718,1749971
724,1784498
725,6994548
726,2958300
727,2779150
732,7683634
733,3536096
735,8042773
736,2130650
739,6596606
745,4165524
746,9995338
747,8281843
750,2993809
754,9830525
756,3727762
758,2000246
760,6571539
761,7007117
762,1949734
763,3333409
765,7297717
768,1250371
770,5931466
771,8664665
772,2668662
773,1281196
775,4081550
777,6707103
781,8675791
787,4859785
793,1931439
794,1795521
796,9732127
798,7781229
799,4974300
800,8554268
801,3884372
802,4261068
804,5404622
811,3404566
812,3354038
814,1581212
816,9158956
817,4422793
818,8118961
820,9384687
821,7083064
822,8893331
824,8047860
826,6792507
828,9591180
831,3774352
832,4545854
834,3364188
835,2728793
837,9867175
838,5949310
839,7453606
843,3683155
844,3100367
848,7756729
850,7046626
851,5334330
853,3330839
854,6590961
856,7664526
857,2963988
859,8260075
861,4230768
863,1697592
864,1434280
865,7034918
867,8596140
868,7657243
876,9067099
877,6401495
878,3292407
882,6480492
884,1851058
885,5364190
888,3946999
889,9858220
890,2757799
894,2205974
896,7747550
897,9060974
898,1538396
901,8526370
903,6866408
904,2450450
906,7740134
908,7470766
909,1674445
910,7816280
911,4639083
914,1765635
916,5022909
923,3983670
926,4661179
927,8179766
928,7754809
930,8510251
931,5622679
933,8504901
934,1170424
939,7066874
940,9815805
941,4923854
942,4784925
944,6748548
947,1280303
948,7306934
949,2580656
951,8967106
954,1381733
956,9928345
957,8732475
960,6630955
963,3933827
964,6662347
966,4147038
971,9192574
973,4832342
974,1809357
975,7875827
977,6647603
978,2451053
983,2406449
986,9866041
988,5354108
989,7175597
990,4863270
991,6451128
994,6249876
995,3707647
1000,9623123
1002,3283363
1004,5273366
1007,9361709
1010,3909089
1011,8323756
1013,4675032
1014,4359874
1015,8371239
1018,9865356
1019,8628633
1024,1625621
1025,8202191
1026,6467183
1027,9321458
1028,8603874
1030,4982856
1031,5165692
1032,4693597
1033,7105844
1035,4805765
1036,1390958
1037,4312642
1038,3203796
1039,3994506
1040,6296731
1041,7109926
1043,4192684
1044,8033230
1047,9319447
