,entry_id
6,3054334
8,7573188
9,7047275
12,7604504
13,7945852
14,3327080
15,3383119
16,6234126
18,3232076
21,2548242
27,2477388
28,8647139
29,4527917
30,9367088
33,2966552
36,1774647
39,1322198
40,9376015
41,6324098
46,3871675
47,1118433
48,4451117
49,9172427
50,4215129
51,5967055
52,3675587
54,1389313
58,9348662
62,6333397
63,2953172
65,8545119
66,1191815
67,7170825
69,3345415
72,8178073
75,1170537
80,1473950
83,2799023
84,8441823
85,6428052
89,6884521
90,6726508
91,4785491
93,8591502
94,6863103
98,4693597
102,6434113
105,1114070
111,7198255
113,2890270
115,9545483
117,3045732
123,5969377
124,3836366
127,1342800
131,1423581
132,4614659
135,8695758
137,7972282
140,4077828
143,5791625
144,8248706
148,4473622
150,4357627
155,1625621
156,2829324
158,1808576
159,7739788
160,4861926
165,4365612
166,2458523
168,6097129
171,2678590
175,5462238
177,4504714
181,3894668
184,9323397
187,8890830
188,3750385
190,5108693
191,4535141
193,3477985
194,3290066
197,8962905
198,1480226
206,1512353
207,9476632
208,3094474
209,8695396
211,2971478
215,9846699
216,7723740
217,4930799
218,5231903
221,2716086
223,1383498
225,6945022
227,3021991
231,8333042
235,3326868
236,9370310
243,9531861
244,1706028
247,2294700
248,2798290
250,8671817
259,5981546
261,9415277
264,3169728
267,1988488
272,5420334
274,7626652
285,9081143
289,2931138
290,2641806
294,7932878
297,1687969
298,7331510
299,1288670
300,7828477
302,6964638
303,8030678
304,5846273
306,7683491
307,2207778
308,5377524
309,9152011
310,6380250
312,4290871
313,6108919
320,7949113
321,7334117
324,7599787
331,2609543
332,8995364
333,6497005
334,1292152
339,7048911
341,1834384
343,7090479
345,6043703
347,2804306
349,7018657
351,9358531
356,3080534
360,4037301
364,5750396
366,9253337
373,6077772
374,3679671
376,7327887
378,8719664
380,2168329
382,9384070
384,5212688
386,2285006
388,7215935
389,7566460
390,9382923
395,2669390
396,7982632
399,5404004
400,6477722
403,1492784
407,6667709
409,2768697
410,6130954
412,4312944
413,4727527
416,6179413
423,9713355
425,3841896
427,7911163
429,2179516
430,8535255
432,3487499
433,4672216
435,5640931
439,1809357
441,3085680
443,7895490
444,1891870
450,7487289
452,3976715
454,8305754
464,9326111
465,4306513
468,9084853
469,4887719
470,2106545
472,6920994
475,1241695
479,3708620
480,4012091
483,7281612
485,7366249
487,2170638
490,3903400
493,2231395
495,9159098
496,5406199
501,5053074
506,1872781
507,3187124
508,6015713
509,4274577
510,6565926
512,8221640
513,2881304
516,7514681
521,4614898
522,1712100
528,2723739
531,7807713
536,6865002
538,6430227
541,2229956
543,9003791
544,9865705
547,8339497
550,8515555
553,9312161
554,2555330
557,3766910
558,1672273
559,6245104
563,8417556
564,4986932
565,2570249
566,3124938
567,2010779
568,6433446
570,8576960
583,3456612
587,8396121
591,3668711
593,7727850
595,5029640
599,9588604
600,7333173
602,7339567
603,2501354
608,5255771
612,5038981
620,8532425
622,1668693
625,4000334
626,2700425
633,4825556
638,2390585
641,8796738
648,9162863
649,7382781
653,7146815
654,5703056
658,3038315
660,2291906
662,9588689
664,8151105
665,6122040
670,6464076
671,5383261
674,1827946
678,9259535
680,9814931
681,1296947
687,9234410
688,7715266
691,8712974
692,3889401
694,9833815
698,8041013
701,8632173
710,1350162
714,5408259
717,9360799
723,6992244
724,9103093
727,2781260
729,9384491
732,9841220
737,6778954
738,3203289
739,2804561
740,5079535
747,9742389
750,3988834
755,9209967
760,4898709
763,4645579
766,9540557
767,3039302
769,7239874
777,6477952
779,6521033
781,4632963
788,5080761
789,3177591
790,3259810
798,4831229
812,6216391
814,1453044
817,6282157
820,8719174
823,3132076
826,9404107
827,8393298
831,6860110
832,9562161
835,7953702
843,3896648
844,3264232
845,8852308
848,7984899
